dataset,label_source,cv_strategy,model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,features
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_plus_semantic,0.9015,0.0332,0.9533,0.021,0.8015,0.0597,0.9104,0.0654,0.7907,0.0557,0.8451,0.0502,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,all_answer_level_features,0.8856,0.0387,0.9353,0.0273,0.7992,0.0513,0.9118,0.0519,0.7835,0.0493,0.8422,0.046,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_only,0.8856,0.0387,0.9353,0.0273,0.7992,0.0513,0.9118,0.0519,0.7835,0.0493,0.8422,0.046,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_plus_semantic_plus_nli,0.8845,0.0353,0.9441,0.0211,0.8128,0.0456,0.9032,0.0561,0.8157,0.0246,0.8569,0.0375,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es, nli_cross_lingual_mean_entailment, nli_cross_lingual_max_contradiction, nli_current_to_others_mean_entailment, nli_current_to_others_max_contradiction, nli_en_zh_bidirectional_entailment, nli_en_zh_max_contradiction, nli_en_es_bidirectional_entailment, nli_en_es_max_contradiction, nli_zh_es_bidirectional_entailment, nli_zh_es_max_contradiction, nli_current_to_en_bidirectional_entailment, nli_current_to_en_max_contradiction, nli_current_to_zh_bidirectional_entailment, nli_current_to_zh_max_contradiction, nli_current_to_es_bidirectional_entailment, nli_current_to_es_max_contradiction"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,language_only_control,0.7866,0.0244,0.8696,0.0265,0.629,0.0213,0.9795,0.0275,0.4733,0.0149,0.6379,0.0137,"is_en, is_zh, is_es"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,self_plus_cross_lingual,0.7011,0.044,0.8075,0.0461,0.6103,0.0538,0.8628,0.0726,0.5199,0.0931,0.6431,0.0773,"self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,cross_lingual_answer_agreement,0.689,0.0451,0.7919,0.0541,0.6398,0.0274,0.8622,0.0631,0.5732,0.0363,0.6867,0.0279,"number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,monolingual_self_consistency,0.6834,0.0379,0.7934,0.0413,0.5974,0.0388,0.9188,0.0477,0.4557,0.0515,0.608,0.0535,"self_consistency_number, n_unique_number_answers"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,pairwise_language_agreement,0.5443,0.0151,0.7229,0.0333,0.376,0.0242,0.95,0.1,0.1062,0.0374,0.1876,0.0585,"number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
XQUAD,automatic_text_scoring,5-fold stratified group CV by question_id,majority_prior_control,0.5,0.0,0.6907,0.0312,0.6907,0.0312,0.6907,0.0312,1.0,0.0,0.8166,0.0219,none
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_plus_semantic_plus_nli,0.7168,0.045,0.6116,0.0874,0.6692,0.0357,0.6062,0.0793,0.6597,0.0425,0.6287,0.0512,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es, nli_cross_lingual_mean_entailment, nli_cross_lingual_max_contradiction, nli_current_to_others_mean_entailment, nli_current_to_others_max_contradiction, nli_en_zh_bidirectional_entailment, nli_en_zh_max_contradiction, nli_en_es_bidirectional_entailment, nli_en_es_max_contradiction, nli_zh_es_bidirectional_entailment, nli_zh_es_max_contradiction, nli_current_to_en_bidirectional_entailment, nli_current_to_en_max_contradiction, nli_current_to_zh_bidirectional_entailment, nli_current_to_zh_max_contradiction, nli_current_to_es_bidirectional_entailment, nli_current_to_es_max_contradiction"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,all_answer_level_features,0.7031,0.0611,0.6241,0.0886,0.659,0.0456,0.5884,0.0798,0.6762,0.0626,0.6267,0.0643,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_only,0.7031,0.0611,0.6241,0.0886,0.659,0.0456,0.5884,0.0798,0.6762,0.0626,0.6267,0.0643,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,increment_answer_plus_semantic,0.6988,0.0373,0.6084,0.0845,0.6205,0.0441,0.5433,0.0693,0.6502,0.0944,0.5899,0.0747,"is_en, is_zh, is_es, self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_cross_lingual_majority, current_number_matches_en, current_number_matches_zh, current_number_matches_es, semantic_cross_lingual_mean_pairwise, semantic_current_to_others_mean, semantic_sim_en_zh, semantic_sim_en_es, semantic_sim_zh_es, semantic_sim_current_to_en, semantic_sim_current_to_zh, semantic_sim_current_to_es"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,self_plus_cross_lingual,0.6742,0.078,0.6073,0.0986,0.6333,0.0571,0.57,0.0939,0.5767,0.0861,0.571,0.0808,"self_consistency_number, n_unique_number_answers, number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,language_only_control,0.6641,0.0638,0.5473,0.0945,0.6179,0.0392,0.5308,0.0615,0.6602,0.2039,0.5795,0.1162,"is_en, is_zh, is_es"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,pairwise_language_agreement,0.6416,0.0933,0.5831,0.099,0.6077,0.0548,0.5725,0.0777,0.3984,0.192,0.4364,0.1531,"number_en_zh_answer_match, number_en_es_answer_match, number_zh_es_answer_match, current_number_matches_en, current_number_matches_zh, current_number_matches_es"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,monolingual_self_consistency,0.6276,0.0896,0.5326,0.0768,0.5974,0.07,0.5299,0.0924,0.6153,0.0976,0.5643,0.078,"self_consistency_number, n_unique_number_answers"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,cross_lingual_answer_agreement,0.5823,0.0398,0.4835,0.0602,0.5179,0.0131,0.4522,0.0397,0.6461,0.1438,0.5257,0.0676,"number_cross_lingual_agreement_ratio, number_cross_lingual_num_unique_answers, current_number_matches_cross_lingual_majority"
MKQA,automatic_text_scoring,5-fold stratified group CV by question_id,majority_prior_control,0.5,0.0,0.4282,0.0449,0.5718,0.0449,0.0,0.0,0.0,0.0,0.0,0.0,none
